cha taehyun	song hyegyo
kamu tidak memiliki hak untuk meninggalkan ruangan ini .	dia tidak bisa mendengar kamu .
dia tidak bisa mendengar kamu .	dia tidak pernah akan .
dia tidak pernah akan .	mari kami duduk .
mari kami duduk .	kalau kami lanjutkan ?
kalau kami lanjutkan ?	well , aku pikir kami harus istirahat .
well , aku pikir kami harus istirahat .	manusia di dalam satu , dan aku pikir kami harus menunggunya .
manusia di dalam satu , dan aku pikir kami harus menunggunya .	sepertinya kami benarbenar menutup telepon sini .
sepertinya kami benarbenar menutup telepon sini .	hal itu dengan orang tua , itu cukup tidak terduga .
hal itu dengan orang tua , itu cukup tidak terduga .	seandainya aku bisa mencari cara kami bisa istirahat itu .
seandainya aku bisa mencari cara kami bisa istirahat itu .	kamu tahu , dalam iklan ... aku katakan aku bekerja dalam suatu lembaga ?
kamu tahu , dalam iklan ... aku katakan aku bekerja dalam suatu lembaga ?	ada beberapa orang yang cukup aneh di sana .
ada beberapa orang yang cukup aneh di sana .	iya , tidak aneh , benarbenar .
iya , tidak aneh , benarbenar .	mereka hanya punya cara aneh untuk mengekspresikan diri mereka sendiri .
mereka hanya punya cara aneh untuk mengekspresikan diri mereka sendiri .	aku kira itu sama dalam bisnis kamu juga , iya ?
aku kira itu sama dalam bisnis kamu juga , iya ?	apa yang kamu lakukan ?
apa yang kamu lakukan ?	i ma pembuat jam .
i ma pembuat jam .	benarkah ?
benarkah ?	aku membayangkan tukang arloji terbaik di dunia datang dari eropa .
aku membayangkan tukang arloji terbaik di dunia datang dari eropa .	lagi pula , dalam sebuah lembaga , ketika kami mencapai titik seperti ini ...
lagi pula , dalam sebuah lembaga , ketika kami mencapai titik seperti ini ...	aku cerita soal sebuah biro iklan ketika kami mencapai titik seperti ini dalam sebuah pertemuan
aku cerita soal sebuah biro iklan ketika kami mencapai titik seperti ini dalam sebuah pertemuan	selalu ada beberapa karakter siap dengan ide .
selalu ada beberapa karakter siap dengan ide .	dan itu membunuh aku .
dan itu membunuh aku .	ini hal yang aneh bagaimana mereka mendahului ide mereka dengan frase .
ini hal yang aneh bagaimana mereka mendahului ide mereka dengan frase .	seperti , beberapa account executive akan bangkit , dan ia akan mengatakan ...
seperti , beberapa account executive akan bangkit , dan ia akan mengatakan ...	oke .
oke .	berikut ide .
berikut ide .	mari kami jalankan itu tiang bendera ... melihat apakah ada orang hormat itu .
mari kami jalankan itu tiang bendera ... melihat apakah ada orang hormat itu .	ini konyol , tapi lucu .
ini konyol , tapi lucu .	aku punya sedikit bersemangat kembali ke sana .
aku punya sedikit bersemangat kembali ke sana .	aku tidak bermaksud mendapatkan jahat .
aku tidak bermaksud mendapatkan jahat .	senang kamu tidak salah satu dari mereka yang memungkinkan ini menarik emosi mempengaruhi kamu .
senang kamu tidak salah satu dari mereka yang memungkinkan ini menarik emosi mempengaruhi kamu .	aku tidak tahu apa yang terjadi dengan kipas itu .
aku tidak tahu apa yang terjadi dengan kipas itu .	tidak bisa memulainya .
tidak bisa memulainya .	apakah kamu seorang salesman ?
apakah kamu seorang salesman ?	aku seorang arsitek .
aku seorang arsitek .	kamu tahu apa yang menjual lembut itu ?
kamu tahu apa yang menjual lembut itu ?	nah , kamu mendapatkannya , percayalah .
nah , kamu mendapatkannya , percayalah .	aku punya teknik berbeda .
aku punya teknik berbeda .	tertawa , minuman , lelucon , trik .
tertawa , minuman , lelucon , trik .	kamu tahu ?
kamu tahu ?	yeah . em hit di mana mereka tinggal .
yeah . em hit di mana mereka tinggal .	itu moto aku .
itu moto aku .	aku membuat menjual selai tahun lalu grand .
aku membuat menjual selai tahun lalu grand .	itu tidak buruk , mengingat selai .
itu tidak buruk , mengingat selai .	apa yang kamu akan keluar dari ini ?
apa yang kamu akan keluar dari ini ?	kicks ?
kicks ?	atau apakah seseorang bertemu kamu di waktu satu kepala dan kamu belum mendapatkan lebih dari
atau apakah seseorang bertemu kamu di waktu satu kepala dan kamu belum mendapatkan lebih dari	mungkin .
mungkin .	kamu lakukangooders semua sama .
kamu lakukangooders semua sama .	kamu selalu meniup tumpukan kamu atas beberapa pria yang mengipasi .
kamu selalu meniup tumpukan kamu atas beberapa pria yang mengipasi .	apa yang kamu membuangbuang waktu untuk ?
apa yang kamu membuangbuang waktu untuk ?	mengapa kamu tidak menyumbang lima dolar untuk penyebabnya , dan mungkin kamu akan merasa lebih
mengapa kamu tidak menyumbang lima dolar untuk penyebabnya , dan mungkin kamu akan merasa lebih	anak ini bersalah , sobat .
anak ini bersalah , sobat .	ini sejelas hidung di wajah kamu .
ini sejelas hidung di wajah kamu .	jadi kenapa tidak kami berhenti membuangbuang waktu kami di sini ?
jadi kenapa tidak kami berhenti membuangbuang waktu kami di sini ?	kami semua akan mendapatkan sakit tenggorokan .
kami semua akan mendapatkan sakit tenggorokan .	apa bedanya jika kamu mendapatkan di sini atau di pertandingan bola ?
apa bedanya jika kamu mendapatkan di sini atau di pertandingan bola ?	tidak ada perbedaan , sobat .
tidak ada perbedaan , sobat .	tidak ada perbedaan sama sekali .
tidak ada perbedaan sama sekali .	nice sekelompok orang , iya ?
nice sekelompok orang , iya ?	mereka kurang lebih sama dengan orang lain .
mereka kurang lebih sama dengan orang lain .	boy , apa hari pembunuh .
boy , apa hari pembunuh .	kamu pikir kami akan lebih lama ?
kamu pikir kami akan lebih lama ?	aku tidak tahu .
aku tidak tahu .	dia bersalah pasti dunia .
dia bersalah pasti dunia .	tidak ada keraguan dalam .
tidak ada keraguan dalam .	kami seharusnya sudah dilakukan sebelumnya .
kami seharusnya sudah dilakukan sebelumnya .	oh , aku tidak keberatan , kamu tahu .
oh , aku tidak keberatan , kamu tahu .	beats bekerja .
beats bekerja .	kamu pikir dia tidak bersalah ?
kamu pikir dia tidak bersalah ?	aku tidak tahu .
aku tidak tahu .	ini mungkin .
ini mungkin .	aku tidak tahu kamu , tapi aku yakin kamu belum pernah wronger dalam hidup kamu
aku tidak tahu kamu , tapi aku yakin kamu belum pernah wronger dalam hidup kamu	kamu membuangbuang waktu kamu .
kamu membuangbuang waktu kamu .	kamu harus membungkusnya .
kamu harus membungkusnya .	misalkan kamu adalah satu di pengadilan .
misalkan kamu adalah satu di pengadilan .	iya , aku tidak digunakan untuk seandainya .
iya , aku tidak digunakan untuk seandainya .	aku hanya seorang pekerja .
aku hanya seorang pekerja .	bos aku tidak mengandaikan satu .
bos aku tidak mengandaikan satu .	tapi aku akan mencoba .
tapi aku akan mencoba .	misalkan kamu berbicara kami semua keluar dari ini ... dan anak itu benarbenar pisau ayahnya
misalkan kamu berbicara kami semua keluar dari ini ... dan anak itu benarbenar pisau ayahnya	maaf , mata biru , .
maaf , mata biru , .	iya mana lagi ?
iya mana lagi ?	mari kami ambil tempat duduk kami .
mari kami ambil tempat duduk kami .	sepertinya kami akan berada di sini untuk makan malam , iya ?
sepertinya kami akan berada di sini untuk makan malam , iya ?	oke .
oke .	mari kami turun ke bisnis .
mari kami turun ke bisnis .	siapa yang ingin memulai it off ?
siapa yang ingin memulai it off ?	baik .
baik .	oke .
oke .	go .
go .	kamu , di bawah sana .
kamu , di bawah sana .	orang tua yang tinggal di bawah ... mengatakan dia mendengar teriakan anak keluar , aku
orang tua yang tinggal di bawah ... mengatakan dia mendengar teriakan anak keluar , aku	beberapa saat kemudian ia mendengar tubuh menghantam lantai .
beberapa saat kemudian ia mendengar tubuh menghantam lantai .	ia berlari ke pintu , dan ia melihat anak berlari menuruni tangga dan keluar .
ia berlari ke pintu , dan ia melihat anak berlari menuruni tangga dan keluar .	apa itu artinya ?
apa itu artinya ?	aku bertanyatanya bagaimana jelas ... orang tua itu bisa mendengar anak itu melalui langitlangit .
aku bertanyatanya bagaimana jelas ... orang tua itu bisa mendengar anak itu melalui langitlangit .	jendela itu terbuka .
jendela itu terbuka .	begitu juga di lantai atas satu .
begitu juga di lantai atas satu .	malam itu panas .
malam itu panas .	itu adalah apartemen lain .
itu adalah apartemen lain .	ini tidak mudah untuk mengidentifikasi suara berteriak .
ini tidak mudah untuk mengidentifikasi suara berteriak .	dia diidentifikasi itu di pengadilan .
dia diidentifikasi itu di pengadilan .	ingat wanita di seberang jalan .
ingat wanita di seberang jalan .	dia tampak tepat di jendela yang terbuka dan melihat anak lakilaki menusuk ayahnya .
dia tampak tepat di jendela yang terbuka dan melihat anak lakilaki menusuk ayahnya .	bukankah itu cukup bagi kamu ?
bukankah itu cukup bagi kamu ?	tidak , bukan
tidak , bukan	boy , bagaimana kamu seperti orang ini ?
boy , bagaimana kamu seperti orang ini ?	ini seperti berbicara di telepon mati .
ini seperti berbicara di telepon mati .	dia bilang dia melihat pembunuhan melalui jendela kereta api ditinggikan bergerak .
dia bilang dia melihat pembunuhan melalui jendela kereta api ditinggikan bergerak .	ada enam mobil .
ada enam mobil .	dia melihat pembunuhan itu melalui dua mobil terakhir .
dia melihat pembunuhan itu melalui dua mobil terakhir .	dia ingat detail yang paling signifikan .
dia ingat detail yang paling signifikan .	kamu tidak bisa membantah itu .
kamu tidak bisa membantah itu .	apakah orang di sini tahu berapa lama waktu yang dibutuhkan sebuah el ...
apakah orang di sini tahu berapa lama waktu yang dibutuhkan sebuah el ...	isn ta game ini .
isn ta game ini .	apakah kamu melihatnya ?
apakah kamu melihatnya ?	saraf .
saraf .	baiklah .
baiklah .	dengar .
dengar .	saraf absolut !
saraf absolut !	lupakan saja .
lupakan saja .	itu tidak penting .
itu tidak penting .	permainan ini isn ta !
permainan ini isn ta !	siapa dia pikir dia ?
siapa dia pikir dia ?	apakah ada yang tahu berapa lama waktu yang dibutuhkan sebuah kereta ditinggikan ... terjadi pada
apakah ada yang tahu berapa lama waktu yang dibutuhkan sebuah kereta ditinggikan ... terjadi pada	apa yang harus dilakukan dengan apa ?
apa yang harus dilakukan dengan apa ?	berapa lama ?
berapa lama ?	coba tebak .
coba tebak .	aku tidak tahu sedikit pun .
aku tidak tahu sedikit pun .	menurutmu ?
menurutmu ?	mungkin sepuluh , dua belas detik .
mungkin sepuluh , dua belas detik .	aku pikir itu menebak yang baik .
aku pikir itu menebak yang baik .	ada lagi ?
ada lagi ?	kedengarannya benar .
kedengarannya benar .	apa permainan menebak untuk ?
apa permainan menebak untuk ?	elo ?
elo ?	sepuluh detik adalah benar .
sepuluh detik adalah benar .	sepuluh detik .
sepuluh detik .	apa yang kamu mendapatkan di ?
apa yang kamu mendapatkan di ?	ini .
ini .	dibutuhkan enam mobil sepuluh detik melatih el untuk melewati titik tertentu .
dibutuhkan enam mobil sepuluh detik melatih el untuk melewati titik tertentu .	katakanlah intinya adalah jendela yang terbuka di mana pembunuhan itu terjadi .
katakanlah intinya adalah jendela yang terbuka di mana pembunuhan itu terjadi .	kamu dapat mencapai ke luar jendela itu dan hampir menyentuh trek el , kan ?
kamu dapat mencapai ke luar jendela itu dan hampir menyentuh trek el , kan ?	izinkan aku meminta kamu ini .
izinkan aku meminta kamu ini .	apakah ada orang di sini pernah tinggal di dekat el trek ?
apakah ada orang di sini pernah tinggal di dekat el trek ?	aku baru saja menyelesaikan lukisan sebuah apartemen yang menghadap garis el .
aku baru saja menyelesaikan lukisan sebuah apartemen yang menghadap garis el .	aku ada di sana selama tiga hari .
aku ada di sana selama tiga hari .	bagaimana rasanya ?
bagaimana rasanya ?	noisy ?
noisy ?	oh , saudara .
oh , saudara .	tidak masalah , meskipun itu .
tidak masalah , meskipun itu .	kami punchy semua .
kami punchy semua .	aku tinggal di apartemen lantai dua dekat garis el sekali .
aku tinggal di apartemen lantai dua dekat garis el sekali .	ketika jendela terbuka dan melatih berjalannya , kebisingan hampir tidak tertahankan .
ketika jendela terbuka dan melatih berjalannya , kebisingan hampir tidak tertahankan .	kamu tidak dapat mendengar diri kamu berpikir .
kamu tidak dapat mendengar diri kamu berpikir .	apakah kamu bisa sampai ke titik ?
apakah kamu bisa sampai ke titik ?	tunggu sebentar .
tunggu sebentar .	mari kami mengambil dua lembar kesaksian dan menempatkan mereka bersamasama .
mari kami mengambil dua lembar kesaksian dan menempatkan mereka bersamasama .	pertama , orang tua di bawah apartemen .
pertama , orang tua di bawah apartemen .	dia mengatakan dia mendengar anak itu berkata , aku akan membunuhmu ...
dia mengatakan dia mendengar anak itu berkata , aku akan membunuhmu ...	dan sedetik kemudian mendengar tubuh menghantam lantai .
dan sedetik kemudian mendengar tubuh menghantam lantai .	satu detik kemudian , kan ?
satu detik kemudian , kan ?	kedua .
kedua .	wanita di seberang jalan ... bersumpah positif dia melihat keluar jendela ... dan melihat pembunuhan
wanita di seberang jalan ... bersumpah positif dia melihat keluar jendela ... dan melihat pembunuhan	apa yang kamu memberi kami di sini ?
apa yang kamu memberi kami di sini ?	tunggu sebentar .
tunggu sebentar .	kami telah sepakat bahwa dibutuhkan sepuluh detik untuk kereta api untuk melewati sebuah titik .
kami telah sepakat bahwa dibutuhkan sepuluh detik untuk kereta api untuk melewati sebuah titik .	karena wanita itu melihat pembunuhan melalui mobil terakhir dua ... kami dapat mengasumsikan bahwa tubuh
karena wanita itu melihat pembunuhan melalui mobil terakhir dua ... kami dapat mengasumsikan bahwa tubuh	oleh karena itu kereta telah mengaum oleh orang tua jendela ... sepuluh detik penuh sebelum
oleh karena itu kereta telah mengaum oleh orang tua jendela ... sepuluh detik penuh sebelum	orang tua , menurut kesaksian sendiri , aku akan membunuhmu ...
orang tua , menurut kesaksian sendiri , aku akan membunuhmu ...	body memukul lantai sepersekian detik kemudian ... akan harus mendengar anak itu membuat pernyataan dengan
body memukul lantai sepersekian detik kemudian ... akan harus mendengar anak itu membuat pernyataan dengan	dia tidak bisa mendengarnya .
dia tidak bisa mendengarnya .	itu konyol .
itu konyol .	apakah kamu pikir dia bisa mendengarnya ?
apakah kamu pikir dia bisa mendengarnya ?	ia mengatakan ia berteriak di atas suaranya .
ia mengatakan ia berteriak di atas suaranya .	itu cukup baik bagi aku .
itu cukup baik bagi aku .	bahkan jika ia mendengar , ia tidak bisa diidentifikasi dengan suara menderu itu .
bahkan jika ia mendengar , ia tidak bisa diidentifikasi dengan suara menderu itu .	kamu bicara tentang detik .
kamu bicara tentang detik .	tidak ada yang dapat yang akurat .
tidak ada yang dapat yang akurat .	kesaksian yang bisa membuat anak lakilaki di kursi listrik harus yang akurat .
kesaksian yang bisa membuat anak lakilaki di kursi listrik harus yang akurat .	aku tidak berpikir ia bisa mendengarnya .
aku tidak berpikir ia bisa mendengarnya .	mungkin dia tidak , dengan kebisingan el .
mungkin dia tidak , dengan kebisingan el .	apa yang kalian bicarakan ?
apa yang kalian bicarakan ?	masuk akal dia tidak bisa mendengarnya .
masuk akal dia tidak bisa mendengarnya .	mengapa dia berbohong ?
mengapa dia berbohong ?	apa yang harus mendapatkan ?
apa yang harus mendapatkan ?	perhatian , mungkin .
perhatian , mungkin .	kamu terus datang dengan ucapan ini cerah !
kamu terus datang dengan ucapan ini cerah !	kirim mereka ke makalah !
kirim mereka ke makalah !	mereka membayar tiga dolar masingmasing .
mereka membayar tiga dolar masingmasing .	apa yang kamu berbicara kepadanya seperti itu ?
apa yang kamu berbicara kepadanya seperti itu ?	seorang pria berbicara seperti itu untuk orang tua benarbenar harus mendapatkan menginjak .
seorang pria berbicara seperti itu untuk orang tua benarbenar harus mendapatkan menginjak .	kamu harus memiliki rasa hormat yang lebih , mister .
kamu harus memiliki rasa hormat yang lebih , mister .	jika kamu mengatakan halhal seperti itu padanya lagi , aku akan berbaring kamu .
jika kamu mengatakan halhal seperti itu padanya lagi , aku akan berbaring kamu .	sekarang , kamu pergi ke depan mengatakan .
sekarang , kamu pergi ke depan mengatakan .	kamu apapun yang kamu suka .
kamu apapun yang kamu suka .	mengapa kamu pikir orang tua mungkin berbohong ?
mengapa kamu pikir orang tua mungkin berbohong ?	hanya saja aku menatapnya untuk waktu yang sangat lama .
hanya saja aku menatapnya untuk waktu yang sangat lama .	seam jaketnya terpecah di bawah bahu .
seam jaketnya terpecah di bawah bahu .	apakah kamu perhatikan bahwa ?
apakah kamu perhatikan bahwa ?	maksudku , untuk datang ke pengadilan seperti itu .
maksudku , untuk datang ke pengadilan seperti itu .	dia adalah seorang lakilaki tua yang sangat dalam jaket robek ... dan dia berjalan sangat
dia adalah seorang lakilaki tua yang sangat dalam jaket robek ... dan dia berjalan sangat	dia menyeret kaki kirinya dan mencoba menyembunyikannya ... karena dia malu .
dia menyeret kaki kirinya dan mencoba menyembunyikannya ... karena dia malu .	aku rasa aku kenal orang ini lebih baik dari siapapun di sini .
aku rasa aku kenal orang ini lebih baik dari siapapun di sini .	ini adalah tenang , ketakutan , orang tua tidak signifikan ... yang telah ada seluruh
ini adalah tenang , ketakutan , orang tua tidak signifikan ... yang telah ada seluruh	tidak ada yang tahu dia .
tidak ada yang tahu dia .	tidak ada yang mengutip dia .
tidak ada yang mengutip dia .	tidak ada yang meminta saran setelah tahun .
tidak ada yang meminta saran setelah tahun .	gentlemen , itu adalah hal yang sangat menyedihkan berarti apaapa .
gentlemen , itu adalah hal yang sangat menyedihkan berarti apaapa .	orang seperti ini perlu dikutip ... untuk disimak , untuk dikutip hanya sekali .
orang seperti ini perlu dikutip ... untuk disimak , untuk dikutip hanya sekali .	sangat penting baginya .
sangat penting baginya .	akan sangat sulit baginya untuk surut ke latar belakang .
akan sangat sulit baginya untuk surut ke latar belakang .	tunggu sebentar .
tunggu sebentar .	apakah kamu mencoba untuk memberitahu kami dia berbohong hanya untuk menjadi penting sekali ?
apakah kamu mencoba untuk memberitahu kami dia berbohong hanya untuk menjadi penting sekali ?	tidak dia tidak akan benarbenar berbohong .
tidak dia tidak akan benarbenar berbohong .	tapi mungkin ia membuat dirinya sendiri percaya bahwa dia mendengar katakata ... dan mengenali wajah
tapi mungkin ia membuat dirinya sendiri percaya bahwa dia mendengar katakata ... dan mengenali wajah	itulah cerita yang paling fantastis yang pernah aku dengar .
itulah cerita yang paling fantastis yang pernah aku dengar .	bagaimana kamu bisa membuat hal seperti itu ?
bagaimana kamu bisa membuat hal seperti itu ?	apa yang kamu ketahui tentang hal itu ?
apa yang kamu ketahui tentang hal itu ?	apakah ada yang ingin drop batuk ?
apakah ada yang ingin drop batuk ?	tidak , terima kasih .
tidak , terima kasih .	aku akan mengambil satu .
aku akan mengambil satu .	katakanlah apa yang kamu suka , aku tidak melihat bagaimana orang bisa berpikir dia tidak
katakanlah apa yang kamu suka , aku tidak melihat bagaimana orang bisa berpikir dia tidak	ada hal lain aku ingin membicarakan sejenak .
ada hal lain aku ingin membicarakan sejenak .	terima kasih .
terima kasih .	aku pikir kami telah membuktikan bahwa orang tua tidak bisa mendengar anak itu mengatakannya .
aku pikir kami telah membuktikan bahwa orang tua tidak bisa mendengar anak itu mengatakannya .	tapi ...
tapi ...	kamu tidak membuktikan sama sekali !
kamu tidak membuktikan sama sekali !	seandainya dia benarbenar mendengarnya .
seandainya dia benarbenar mendengarnya .	ini frase , berapa kali kami semua menggunakannya ?
ini frase , berapa kali kami semua menggunakannya ?	mungkin ribuan .
mungkin ribuan .	aku bisa membunuh kamu untuk itu sayang , .
aku bisa membunuh kamu untuk itu sayang , .	junior , kamu melakukannya sekali lagi , dan aku akan membunuhmu .
junior , kamu melakukannya sekali lagi , dan aku akan membunuhmu .	kami mengatakan setiap hari .
kami mengatakan setiap hari .	itu tidak berarti kami benarbenar akan membunuh siapa pun .
itu tidak berarti kami benarbenar akan membunuh siapa pun .	apa yang kamu coba untuk memberi kami di sini , the ?
apa yang kamu coba untuk memberi kami di sini , the ?	frase itu aku akan membunuhmu .
frase itu aku akan membunuhmu .	anak itu berteriak di bagian atas paruparunya .
anak itu berteriak di bagian atas paruparunya .	jangan bilang dia tidak bersungguhsungguh .
jangan bilang dia tidak bersungguhsungguh .	ada yang mengatakan seperti itu , berarti .
ada yang mengatakan seperti itu , berarti .	gee , aku tidak tahu , damon .
gee , aku tidak tahu , damon .	aku berdebat dengan seorang pria aku bekerja dengan di bank beberapa minggu lalu .
aku berdebat dengan seorang pria aku bekerja dengan di bank beberapa minggu lalu .	dia menelepon aku idiot , jadi aku berteriak padanya .
dia menelepon aku idiot , jadi aku berteriak padanya .	orang ini berusaha membuat kamu percaya halhal yang tidak begitu !
orang ini berusaha membuat kamu percaya halhal yang tidak begitu !	anak itu mengatakan itu , dan dia membunuhnya .
anak itu mengatakan itu , dan dia membunuhnya .	apakah kamu pikir anak itu akan berteriak bahwa sehingga seluruh tetangga bisa mendengar ?
apakah kamu pikir anak itu akan berteriak bahwa sehingga seluruh tetangga bisa mendengar ?	aku tidak berpikir begitu .
aku tidak berpikir begitu .	dia terlalu terang .
dia terlalu terang .	bright ?
bright ?	dia bodoh jorok umum .
dia bodoh jorok umum .	dia bahkan tidak berbicara bahasa inggris yang baik .
dia bahkan tidak berbicara bahasa inggris yang baik .	dia bahkan tidak berbicara bahasa inggris yang baik .
dia bahkan tidak berbicara bahasa inggris yang baik .	mr foreman , aku ingin mengubah suara aku untuk tidak bersalah .
mr foreman , aku ingin mengubah suara aku untuk tidak bersalah .	elo apa ?
elo apa ?	kamu dengar aku .
kamu dengar aku .	kamu yakin ?
kamu yakin ?	iya , aku yakin .
iya , aku yakin .	suara adalah mendukung bersalah .
suara adalah mendukung bersalah .	nah , jika hal ini bukan akhir hidup .
nah , jika hal ini bukan akhir hidup .	apa yang mendasarkan pada ?
apa yang mendasarkan pada ?	cerita orang ini dibuat ?
cerita orang ini dibuat ?	kamu harus menulis untuk sebuah majalah detektif .
kamu harus menulis untuk sebuah majalah detektif .	kamu akan menghasilkan banyak uang .
kamu akan menghasilkan banyak uang .	pengacara sendiri anak itu tahu dia tidak berdiri kesempatan !
pengacara sendiri anak itu tahu dia tidak berdiri kesempatan !	kanan dari awal pengacara sendiri tahu .
kanan dari awal pengacara sendiri tahu .	kamu bisa melihatnya .
kamu bisa melihatnya .	boy , oh , anak lakilaki , orang ini di sini adalah benarbenar sesuatu .
boy , oh , anak lakilaki , orang ini di sini adalah benarbenar sesuatu .	anak itu memiliki seorang pengacara , dia tidak disajikan ?
anak itu memiliki seorang pengacara , dia tidak disajikan ?	dia kasusnya , bukan kamu .
dia kasusnya , bukan kamu .	bagaimana kamu punya begitu banyak berbicara ?
bagaimana kamu punya begitu banyak berbicara ?	pengacara tidak sempurna .
pengacara tidak sempurna .	baltimore , silakan .
baltimore , silakan .	dia ditunjuk pengadilan .
dia ditunjuk pengadilan .	apa itu maksudnya ?
apa itu maksudnya ?	ini bisa berarti banyak hal .
ini bisa berarti banyak hal .	mungkin dia tidak ingin kasus ini atau dia suka diangkat .
mungkin dia tidak ingin kasus ini atau dia suka diangkat .	tidak ada uang , tidak ada kemuliaan , bahkan tidak banyak kesempatan untuk menang .
tidak ada uang , tidak ada kemuliaan , bahkan tidak banyak kesempatan untuk menang .	itu bukan situasi yang menjanjikan bagi pengacara muda .
itu bukan situasi yang menjanjikan bagi pengacara muda .	dia benarbenar harus percaya pada kliennya ... memasang kasus yang baik , dan kamu menunjukkan
dia benarbenar harus percaya pada kliennya ... memasang kasus yang baik , dan kamu menunjukkan	tentu saja dia tidak .
tentu saja dia tidak .	siapa sih yang bisa ?
siapa sih yang bisa ?	kecuali mungkin orang ibu beberapa atau seseorang .
kecuali mungkin orang ibu beberapa atau seseorang .	lihat .
lihat .	apakah kamu melihat pada saat itu ?
apakah kamu melihat pada saat itu ?	untuk menangis dengan suara keras .
untuk menangis dengan suara keras .	maafkan aku .
maafkan aku .	aku memiliki beberapa catatan di sini .
aku memiliki beberapa catatan di sini .	catatan
catatan	aku ingin , silahkan , untuk mengatakan sesuatu .
aku ingin , silahkan , untuk mengatakan sesuatu .	aku telah mendengarkan sangat hatihati .
aku telah mendengarkan sangat hatihati .	sepertinya aku bahwa orang ini memiliki beberapa poin yang sangat baik untuk membuat .
sepertinya aku bahwa orang ini memiliki beberapa poin yang sangat baik untuk membuat .	dari apa yang disajikan di persidangan , anak itu terlihat bersalah di permukaan .
dari apa yang disajikan di persidangan , anak itu terlihat bersalah di permukaan .	tapi mungkin jika kami masuk lebih dalam ?
tapi mungkin jika kami masuk lebih dalam ?	ayo , akan iya ?
ayo , akan iya ?	ada pertanyaan aku ingin bertanya .
ada pertanyaan aku ingin bertanya .	mari kami berasumsi bahwa anak itu benarbenar melakukan pembunuhan tersebut .
mari kami berasumsi bahwa anak itu benarbenar melakukan pembunuhan tersebut .	hal ini terjadi pada sepuluh menit setelah .
hal ini terjadi pada sepuluh menit setelah .	bagaimana ia tertangkap oleh polisi ?
bagaimana ia tertangkap oleh polisi ?	dia pulang pukul . atau lebih ... dan ia ditangkap oleh dua detektif di lorong
dia pulang pukul . atau lebih ... dan ia ditangkap oleh dua detektif di lorong	pertanyaan aku adalah , jika dia benarbenar telah membunuh ayahnya ... mengapa ia datang kembali
pertanyaan aku adalah , jika dia benarbenar telah membunuh ayahnya ... mengapa ia datang kembali	bukankah ia menjadi takut ditangkap ?
bukankah ia menjadi takut ditangkap ?	dia datang ke rumah untuk mendapatkan pisau .
dia datang ke rumah untuk mendapatkan pisau .	ini tidak baik untuk meninggalkan pisau in s dada orang .
ini tidak baik untuk meninggalkan pisau in s dada orang .	iya , khususnya kerabat .
iya , khususnya kerabat .	aku tidak melihat apaapa lucu tentang hal itu .
aku tidak melihat apaapa lucu tentang hal itu .	anak itu tahu pisau dapat diidentifikasi sebagai salah satu ia hanya membeli .
anak itu tahu pisau dapat diidentifikasi sebagai salah satu ia hanya membeli .	dia harus mendapatkannya sebelum polisi itu .
dia harus mendapatkannya sebelum polisi itu .	tetapi jika pisau itu dapat diidentifikasi , mengapa dia meninggalkannya di tempat pertama ?
tetapi jika pisau itu dapat diidentifikasi , mengapa dia meninggalkannya di tempat pertama ?	aku pikir kami bisa berasumsi anak itu berlari keluar dalam keadaan panik ... setelah baru
aku pikir kami bisa berasumsi anak itu berlari keluar dalam keadaan panik ... setelah baru	ketika akhirnya dia tenang , dia menyadari bahwa dia meninggalkan pisau di sana .
ketika akhirnya dia tenang , dia menyadari bahwa dia meninggalkan pisau di sana .	hal ini kemudian tergantung pada definisi kamu panik .
hal ini kemudian tergantung pada definisi kamu panik .	dia cukup tenang untuk melihat bahwa tidak ada sidik jari kiri pada pisau .
dia cukup tenang untuk melihat bahwa tidak ada sidik jari kiri pada pisau .	sekarang , mana panik ini mulai dan di mana melakukannya berakhir ?
sekarang , mana panik ini mulai dan di mana melakukannya berakhir ?	kamu memberi suara bersalah atas . apa sisi kamu ?
kamu memberi suara bersalah atas . apa sisi kamu ?	aku tidak percaya aku harus setia ke satu sisi .
aku tidak percaya aku harus setia ke satu sisi .	aku hanya mengajukan pertanyaan .
aku hanya mengajukan pertanyaan .	ini hanya dari atas kepala aku , tapi ... kalau aku anak lakilaki dan aku
ini hanya dari atas kepala aku , tapi ... kalau aku anak lakilaki dan aku	aku akan mengambil kesempatan dan kembali untuk pisau .
aku akan mengambil kesempatan dan kembali untuk pisau .	aku berani bertaruh ia menduga bahwa nobody d melihatnya kehabisan ... dan bahwa tubuh tidak
aku berani bertaruh ia menduga bahwa nobody d melihatnya kehabisan ... dan bahwa tubuh tidak	saat itu tengah malam .
saat itu tengah malam .	aku berani bertaruh dia pikir tidak seorangpun akan menemukan mayat sampai hari berikutnya .
aku berani bertaruh dia pikir tidak seorangpun akan menemukan mayat sampai hari berikutnya .	maaf .
maaf .	ini adalah inti aku .
ini adalah inti aku .	wanita itu menerangkan bahwa saat setelah dia melihat pembunuhan tersebut ... yaitu sesaat setelah kereta
wanita itu menerangkan bahwa saat setelah dia melihat pembunuhan tersebut ... yaitu sesaat setelah kereta	sekarang , anak itu pasti pasti mendengar jeritan ... jadi dia tahu bahwa seseorang melihat
