cha taehyun	song hyegyo
aku tidak menyetujui apapun , ingat ?	charlie , kamu bekerja pada seorang bajingan .
charlie , kamu bekerja pada seorang bajingan .	oh , iya ?
oh , iya ?	pulanglah charlie ...
pulanglah charlie ...	aku akan menyelesaikan pekerjaan itu .
aku akan menyelesaikan pekerjaan itu .	terima kasih , tenangkan semuanya .
terima kasih , tenangkan semuanya .	selamat malam .
selamat malam .	selamat malam
selamat malam	wyatt , kamu harus segera melepasnya ...
wyatt , kamu harus segera melepasnya ...	dia tidak pantas dipenjara .
dia tidak pantas dipenjara .	aku kira charlie benar .
aku kira charlie benar .	keluarkan dia .
keluarkan dia .	hati nurani ?
hati nurani ?	mungkin aku menyukai dia .
mungkin aku menyukai dia .	beritahu kelly , perempuan itu boleh bermain diruangan lain .
beritahu kelly , perempuan itu boleh bermain diruangan lain .	aku tidak ingin dia bermain dilantai utama
aku tidak ingin dia bermain dilantai utama	selamat malam , nona denbow
selamat malam , nona denbow	selamat malam .
selamat malam .	ayo laura , kami ada urusan yang harus diselesaikan .
ayo laura , kami ada urusan yang harus diselesaikan .	terima kasih .
terima kasih .	marshal .
marshal .	selamat malam , tuan earp .
selamat malam , tuan earp .	selamat malam , nona denbow
selamat malam , nona denbow	selamat malam , tuan earp .
selamat malam , tuan earp .	sepasang
sepasang	aku akan cek pada wanita
aku akan cek pada wanita	
	aku diam .
aku diam .	terlalu tinggi untukku .
terlalu tinggi untukku .	aku ikut .
aku ikut .	?
?	... kunaikkan lagi .
... kunaikkan lagi .	aku ikut .
aku ikut .	doc , hampir pagi .
doc , hampir pagi .	ratu keriting .
ratu keriting .	jack sekop , tiga puluhan .
jack sekop , tiga puluhan .	kamu tidak menjawabku .
kamu tidak menjawabku .	tiga angka
tiga angka	aku akan membuatnya .
aku akan membuatnya .	doc .
doc .	pergilah , beli minuman .
pergilah , beli minuman .	kunaikkan kamu
kunaikkan kamu	terlalu besar untukku .
terlalu besar untukku .	untukku , ayo buka kartumu .
untukku , ayo buka kartumu .	aku bersama wanita .
aku bersama wanita .	empat angka
empat angka	tuantuan , kami telah kalah
tuantuan , kami telah kalah	terima kasih tuantuan , kukira sudah cukup malam ini .
terima kasih tuantuan , kukira sudah cukup malam ini .	maukah kamu menukarkannya , frank ?
maukah kamu menukarkannya , frank ?	selamat malam , walikota kelly
selamat malam , walikota kelly	maukah kuantar kamu pulang ?
maukah kuantar kamu pulang ?	tidak , terima kasih doc , selamat malam .
tidak , terima kasih doc , selamat malam .	selamat malam .
selamat malam .	bagaimana dengan taruhan kecil , kawan ?
bagaimana dengan taruhan kecil , kawan ?	aku pasang taruhanku disana .
aku pasang taruhanku disana .	selamat malam .
selamat malam .	kelly , aku membutuhkan luke short .
kelly , aku membutuhkan luke short .	ritchie bell dan dua anak buahnya untuk menjaga bank di salina .
ritchie bell dan dua anak buahnya untuk menjaga bank di salina .	mereka membunuh kasir , mereka menuju kemari .
mereka membunuh kasir , mereka menuju kemari .	aku mengirim luke ke abilene , maafkan aku .
aku mengirim luke ke abilene , maafkan aku .	kapan kamu membutuhkannya ?
kapan kamu membutuhkannya ?	segera jika aku dapat kabar keberadaan mereka .
segera jika aku dapat kabar keberadaan mereka .	celaka !
celaka !	luke satusatunya orang di kota yang bisa menggunakan senjata .
luke satusatunya orang di kota yang bisa menggunakan senjata .	bagaimana dengan charlie bassett ?
bagaimana dengan charlie bassett ?	seharusnya ada orang yang memikirkan kota .
seharusnya ada orang yang memikirkan kota .	kamu butuh bantuan ?
kamu butuh bantuan ?	kamu ?
kamu ?	tidak , terima kasih .
tidak , terima kasih .	aku sendiri dapat mengatasinya dengan baik .
aku sendiri dapat mengatasinya dengan baik .	satusatunya masalah adalah , mereka jago dalam membidikkan senjata ,
satusatunya masalah adalah , mereka jago dalam membidikkan senjata ,	bukan dalam membuat komentar .
bukan dalam membuat komentar .	aku akan menanganinya sendiri .
aku akan menanganinya sendiri .	terserah kamu .
terserah kamu .	angkat tangan kananmu .
angkat tangan kananmu .	apakah kamu bersedia dan bersumpah untuk ... ?
apakah kamu bersedia dan bersumpah untuk ... ?	oh , ini konyol , kamu kujadikan deputi .
oh , ini konyol , kamu kujadikan deputi .	ambil perlengkapan , aku akan mengambil kuda .
ambil perlengkapan , aku akan mengambil kuda .	tunggu , bukankah aku harus memakai lencana ?
tunggu , bukankah aku harus memakai lencana ?	tidak untukmu .
tidak untukmu .	wiriadikrama family melur dua nomor saratus , brk , bandung
wiriadikrama family melur dua nomor saratus , brk , bandung	obat .
obat .	untuk seorang penjudi hebat , kamu yakin memilih peluang konyol .
untuk seorang penjudi hebat , kamu yakin memilih peluang konyol .	kamu akan mati di tahun ini
kamu akan mati di tahun ini	apa yang kamu ketahui tentang peluang , pendeta ?
apa yang kamu ketahui tentang peluang , pendeta ?	batuk ini tidak kunjung sembuh .
batuk ini tidak kunjung sembuh .	mengapa kamu tidak meninggalkan tempat minum ?
mengapa kamu tidak meninggalkan tempat minum ?	berkemas dan tinggallah di pegunungan .
berkemas dan tinggallah di pegunungan .	bukan aku .
bukan aku .	kamu terlalu keras untuk orang yang ingin berumur panjang .
kamu terlalu keras untuk orang yang ingin berumur panjang .	tidak , aku tidak akan membiarkan sakitku mengalahkanku perlahanlahan .
tidak , aku tidak akan membiarkan sakitku mengalahkanku perlahanlahan .	tentu , mainkan dengan keras dan cepat .
tentu , mainkan dengan keras dan cepat .	dengar , wyatt , yang paling kutakuti hanya sekarat di tempat tidur .
dengar , wyatt , yang paling kutakuti hanya sekarat di tempat tidur .	aku tidak ingin digerogoti sedikit demi sedikit .
aku tidak ingin digerogoti sedikit demi sedikit .	suatu hari seseorang akan menembakku dan akan berlangsung cepat .
suatu hari seseorang akan menembakku dan akan berlangsung cepat .	earp , aku kemari bukan untuk mendengar khotbahmu .
earp , aku kemari bukan untuk mendengar khotbahmu .	kamu tahu , aku penasaran padamu .
kamu tahu , aku penasaran padamu .	mengapa kamu ikut terlibat ?
mengapa kamu ikut terlibat ?	jika aku bertahan cukup lama ...
jika aku bertahan cukup lama ...	cepat atau lambat kamu pasti akan mengalami nasib sial .
cepat atau lambat kamu pasti akan mengalami nasib sial .	aku akan menyelamatkanmu .
aku akan menyelamatkanmu .	aku hanya punya satu hutang di dunia ini , dan aku tidak suka berhutang padamu
aku hanya punya satu hutang di dunia ini , dan aku tidak suka berhutang padamu	kamu tidak berutang apapun padaku aku tidak butuh siapapun dalam hidupku ...
kamu tidak berutang apapun padaku aku tidak butuh siapapun dalam hidupku ...	dan aku yakin tidak membutuhkan doc holliday .
dan aku yakin tidak membutuhkan doc holliday .	kamu cukup yakin dengan itu
kamu cukup yakin dengan itu	sejauh ini yang kukhawatirkan , kamu bisa naik kudamu dan pergi .
sejauh ini yang kukhawatirkan , kamu bisa naik kudamu dan pergi .	tidak , terimakasih , aku akan tetap disini .
tidak , terimakasih , aku akan tetap disini .	kamu tahu wyatt ?
kamu tahu wyatt ?	kamu dan aku sebenarnya sangat mirip
kamu dan aku sebenarnya sangat mirip	kami berdua hidup dengan pistol .
kami berdua hidup dengan pistol .	satusatunya perbedaan adalah lencana itu .
satusatunya perbedaan adalah lencana itu .	ada apa pendeta ?
ada apa pendeta ?	apakah kamu ingin menjadi pendeta ?
apakah kamu ingin menjadi pendeta ?	diam dan tidurlah !
diam dan tidurlah !	ritchie bell tidak akan merampok bank lagi
ritchie bell tidak akan merampok bank lagi	kupikir kamu sudah tidur .
kupikir kamu sudah tidur .	tidak , aku berpurapura .
tidak , aku berpurapura .	mari kami kembali ke dodge , aku ingin tidur .
mari kami kembali ke dodge , aku ingin tidur .	untuk apa ?
untuk apa ?	mereka tidak akan pergi kemanamana , begitupun dengan kami .
mereka tidak akan pergi kemanamana , begitupun dengan kami .	aku akan tidur .
aku akan tidur .	pergi dari bar jelek itu .
pergi dari bar jelek itu .	berkemas dan tinggallah di pegunungan .
berkemas dan tinggallah di pegunungan .	charlie .
charlie .	hai .
hai .	aku akan masuk untuk memperbaiki laporan .
aku akan masuk untuk memperbaiki laporan .	terima kasih banyak , doc .
terima kasih banyak , doc .	kamu dan aku impas .
kamu dan aku impas .	belum .
belum .	utang itu belum dibayar secara penuh , marshal .
utang itu belum dibayar secara penuh , marshal .	aku dengar kamu terlibat adutembak yang seru doc .
aku dengar kamu terlibat adutembak yang seru doc .	well , itu sehari bekerja sebagai deputi .
well , itu sehari bekerja sebagai deputi .	kamu tidak apaapa ?
kamu tidak apaapa ?	cari kate dan katakan padanya untuk segera ke hotel ?
cari kate dan katakan padanya untuk segera ke hotel ?	kate tidak pernah kelihatan akhirakhir ini .
kate tidak pernah kelihatan akhirakhir ini .	apa maksudmu ?
apa maksudmu ?	maksudku tidak ada yang melihatnya didaerah ini sejak kamu pergi .
maksudku tidak ada yang melihatnya didaerah ini sejak kamu pergi .	haruskah aku panggil dokter ?
haruskah aku panggil dokter ?	pagi , laura .
pagi , laura .	oh , aku tidak mengira akan gembira bertemu denganmu .
oh , aku tidak mengira akan gembira bertemu denganmu .	ada masalah apa ?
ada masalah apa ?	kudaku pincang .
kudaku pincang .	kaki depan yang kanan .
kaki depan yang kanan .	kukunya retak , sebaiknya jangan ditunggangi .
kukunya retak , sebaiknya jangan ditunggangi .	biarkan dia disini , tidak akan pergi jauh .
biarkan dia disini , tidak akan pergi jauh .	aku akan menyuruh pandai besi datang ,
aku akan menyuruh pandai besi datang ,	walau kebetulan , senang bertemu denganmu .
walau kebetulan , senang bertemu denganmu .	ini bukan kebetulan .
ini bukan kebetulan .	aku tahu kamu kemari setiap hari
aku tahu kamu kemari setiap hari	ayo , aku akan memberimu tumpangan ke kota .
ayo , aku akan memberimu tumpangan ke kota .	kecuali kamu lebih suka berjalan enam mil .
kecuali kamu lebih suka berjalan enam mil .	pegangan yang erat .
pegangan yang erat .	lebih erat .
lebih erat .	doc , apa yang sedang kamu lakukan ?
doc , apa yang sedang kamu lakukan ?	sekarang jam .
sekarang jam .	aku mengalami kram siang tadi saat berjalan yard
aku mengalami kram siang tadi saat berjalan yard	ada kegiatan apa disini ?
ada kegiatan apa disini ?	aku mengambil barangbarang segera setelah tiba di kota .
aku mengambil barangbarang segera setelah tiba di kota .	sepertinya bat tidak akan kembali bersama para deputi secepatnya .
sepertinya bat tidak akan kembali bersama para deputi secepatnya .	dimana kate ?
dimana kate ?	dimana dia , charlie ?
dimana dia , charlie ?	ini sesuatu yang sensitif doc .
ini sesuatu yang sensitif doc .	aku ...
aku ...	iya ?
iya ?	kamu janji pada wyatt tidak akan ada permainan senjata disini doc .
kamu janji pada wyatt tidak akan ada permainan senjata disini doc .	jika kamu akan ...
jika kamu akan ...	dimana dia , charlie ?
dimana dia , charlie ?	hotel wiley ...
hotel wiley ...	ringo ke kota , kate ikut bersama mereka .
ringo ke kota , kate ikut bersama mereka .	tentu banyak daging sapi akan tersedia disini .
tentu banyak daging sapi akan tersedia disini .	ini hanya awal , tunggu sampai ...
ini hanya awal , tunggu sampai ...	dengar doc , jika terjadi saling tembak sekarang ...
dengar doc , jika terjadi saling tembak sekarang ...	wyatt bisa banyak masalah .
wyatt bisa banyak masalah .	banyak masalah .
banyak masalah .	tentu banyak sapi disini .
tentu banyak sapi disini .	keluar dan tetap diluar , kamu gelandangan busuk !
keluar dan tetap diluar , kamu gelandangan busuk !	dan jangan kembali .
dan jangan kembali .	tulislah isi hatiku
tulislah isi hatiku	isi hatiku untuk menikah , cinta
isi hatiku untuk menikah , cinta	dan meninggalkanmu
dan meninggalkanmu	jadi kamu rindu rumah
jadi kamu rindu rumah	well , ternyata si deputi kecil .
well , ternyata si deputi kecil .	kamu telah pergi selama hari
kamu telah pergi selama hari	kupikir kamu tidak perlu pemberitahuan .
kupikir kamu tidak perlu pemberitahuan .	kamu telah pergi berkeliaran bersama tuan virtue .
kamu telah pergi berkeliaran bersama tuan virtue .	aku sakit kate , aku membutuhkanmu .
aku sakit kate , aku membutuhkanmu .	mengapa kamu tidak mengikat leherku dan menariknya saat kamu butuh aku ?
mengapa kamu tidak mengikat leherku dan menariknya saat kamu butuh aku ?	aku tidak bisa jauh , tidak bisa jauh , apakah kamu bisa ?
aku tidak bisa jauh , tidak bisa jauh , apakah kamu bisa ?	oh , tinggalkan aku doc .
oh , tinggalkan aku doc .	selalu kembali merangkak , kembali ke selokanmu .
selalu kembali merangkak , kembali ke selokanmu .	mungkin tidak , jika kamu memberitahuku bahwa kamu masih hidup .
mungkin tidak , jika kamu memberitahuku bahwa kamu masih hidup .	apa bedanya bagimu ...
apa bedanya bagimu ...	kemana aku pergi atau apa yang kubawa ?
kemana aku pergi atau apa yang kubawa ?	diam !
diam !	ambil semua barangmu , kamu pergi dari sini .
ambil semua barangmu , kamu pergi dari sini .	dia tetap disini .
dia tetap disini .	sebaiknya , jangan ikut campur ringo .
sebaiknya , jangan ikut campur ringo .	kamu tidak berhak datang dan marahmarah disini .
kamu tidak berhak datang dan marahmarah disini .	aku sedang bicara dengan kate , pergilah !
aku sedang bicara dengan kate , pergilah !	apapun yang ingin kamu katakan , kamu bisa katakan didepannya
apapun yang ingin kamu katakan , kamu bisa katakan didepannya	kamu pelacur .
kamu pelacur .	tunggu sebentar , holliday .
tunggu sebentar , holliday .	kamu tidak boleh bicara pada wanitaku seperti itu .
kamu tidak boleh bicara pada wanitaku seperti itu .	wanitamu , wanita semua orang .
wanitamu , wanita semua orang .	aku tantang kamu duel .
aku tantang kamu duel .	aku tidak punya pistol .
aku tidak punya pistol .	kamu punya sekarang .
kamu punya sekarang .	lakukanlah ...
lakukanlah ...	aku tidak ingin bertarung .
aku tidak ingin bertarung .	dia tidak akan mau bertarung .
dia tidak akan mau bertarung .	dia berjanji pada wyatt earp .
dia berjanji pada wyatt earp .	dia menjadi anak kecil yang patuh , ha ha ...
dia menjadi anak kecil yang patuh , ha ha ...	kudengar kamu memulai reputasimu melawan sekelompok pemabuk .
kudengar kamu memulai reputasimu melawan sekelompok pemabuk .	ayo ambillah .
ayo ambillah .	aku tidak ingin bertarung .
aku tidak ingin bertarung .	kalau begitu , minumlah .
kalau begitu , minumlah .	oh doc .
oh doc .	tarian yang indah ...
tarian yang indah ...	maaf , aku harus segera pergi .
maaf , aku harus segera pergi .	kamu membuat banyak orang patah hati ...
kamu membuat banyak orang patah hati ...	selamat malam walikota kelly
selamat malam walikota kelly	selamat malam nona denbow .
selamat malam nona denbow .	bolehkah aku mengajakmu ke suatu tempat ?
bolehkah aku mengajakmu ke suatu tempat ?	tidak , terimakasih , ini jalan pintas .
tidak , terimakasih , ini jalan pintas .	sekarang masih pagi ...
sekarang masih pagi ...	dan aku harus pergi ke tebing .
dan aku harus pergi ke tebing .	oh , sangat indah disini ...
oh , sangat indah disini ...	aku senang kemari .
aku senang kemari .	kamu kehilangan wajah seorang pemain poker
kamu kehilangan wajah seorang pemain poker	kamu terlihat seperti gadis kecil yang ketakutan
kamu terlihat seperti gadis kecil yang ketakutan	aku tidak takut .
aku tidak takut .	dan yang pasti aku bukan gadis kecil .
dan yang pasti aku bukan gadis kecil .	mengapa kamu mau kemari bersamaku ?
mengapa kamu mau kemari bersamaku ?	aku harap dapat menjawab itu .
aku harap dapat menjawab itu .	aku tidak tahu .
aku tidak tahu .	aku akan memberitahumu mengapa kamu kemari .
aku akan memberitahumu mengapa kamu kemari .	kelompok yang hebat , benar ringo ?
kelompok yang hebat , benar ringo ?	yeah .
yeah .	ini pasti memberi pelajaran bagi mereka dan juga semua pemilik sapi di kota .
ini pasti memberi pelajaran bagi mereka dan juga semua pemilik sapi di kota .	iya .
iya .	shanghai pierce telah tiba di kota ...
shanghai pierce telah tiba di kota ...	anak buahnya berpesta dijalan .
anak buahnya berpesta dijalan .	cari dan temukan wyatt secepat mungkin , cari bantuan .
cari dan temukan wyatt secepat mungkin , cari bantuan .	aku akan coba menahan mereka .
aku akan coba menahan mereka .	aku tidak ingin seorangpun berada di jalanan
aku tidak ingin seorangpun berada di jalanan	pierce , kumpulkan anak buahmu , sebelum seseorang terluka .
pierce , kumpulkan anak buahmu , sebelum seseorang terluka .	katakan pada atasanmu aku menunggu undangan pribadinya .
katakan pada atasanmu aku menunggu undangan pribadinya .	kamu ditangkap pierce .
kamu ditangkap pierce .	kamu dengar itu ringo ?
kamu dengar itu ringo ?	aku ditahan .
aku ditahan .	kamu dengar itu ringo ?
kamu dengar itu ringo ?	aku ditahan .
aku ditahan .	aku mendengarnya .
aku mendengarnya .	sangat bising sekali .
sangat bising sekali .	iya memang .
iya memang .	kami berhenti , aku ingin pergi dari sini .
kami berhenti , aku ingin pergi dari sini .	teruskan permainannya
teruskan permainannya	aku tidak akan menghentikan ini .
aku tidak akan menghentikan ini .	beri aku kartu !
beri aku kartu !	doc , kumohon !
doc , kumohon !	...
...	bagi kartunya ...
bagi kartunya ...	well , apa yang kami temukan disini ?
well , apa yang kami temukan disini ?	sebuah tarian , bukankah itu bagus ?
sebuah tarian , bukankah itu bagus ?	kalian akan mengundang kami ?
kalian akan mengundang kami ?	bukankah mereka sangat ramah bos ?
bukankah mereka sangat ramah bos ?	sebaiknya kamu bawa para bajinganmu ke selatan perbatasan .
sebaiknya kamu bawa para bajinganmu ke selatan perbatasan .	kamu dengar mereka anakanak ?
kamu dengar mereka anakanak ?	mereka orangorang terhormat .
mereka orangorang terhormat .	mereka cukup baik untuk mengambil uang kami .
mereka cukup baik untuk mengambil uang kami .	kataku anak buahku cukup baik untuk dapat menari dengan para wanitamu .
kataku anak buahku cukup baik untuk dapat menari dengan para wanitamu .	anak buahku ingin menari !
anak buahku ingin menari !	pemain piano , mainkan musiknya !
pemain piano , mainkan musiknya !	buat lebih hidup !
buat lebih hidup !	hai shanghai .
hai shanghai .	well , sekarang hariku telah lengkap .
well , sekarang hariku telah lengkap .	kamu dan aku harus membereskan bekas luka yang kamu berikan padaku di wichita .
kamu dan aku harus membereskan bekas luka yang kamu berikan padaku di wichita .	lepaskan senjata kalian , nak ...
lepaskan senjata kalian , nak ...	ikut denganku ke penjara .
ikut denganku ke penjara .	sebaiknya kamu mulai berdoa , earp .
sebaiknya kamu mulai berdoa , earp .	telah tiba saat terakhirmu .
telah tiba saat terakhirmu .	berpikirlah jernih , shanghai , sebelum kamu mendapat banyak masalah ...
berpikirlah jernih , shanghai , sebelum kamu mendapat banyak masalah ...	dan tidak bisa keluar lagi
dan tidak bisa keluar lagi	ayo kami hajar dia bos .
ayo kami hajar dia bos .	iya , itu ide yang bagus .
iya , itu ide yang bagus .	mungkin temantemanmu ingin melihat seberapa tangguh dirimu .
mungkin temantemanmu ingin melihat seberapa tangguh dirimu .	aku ingin melihatmu berdansa , marshal
aku ingin melihatmu berdansa , marshal	itu kalimat hebat , shanghai , bila ada orang di belakangmu .
itu kalimat hebat , shanghai , bila ada orang di belakangmu .	ayo kami berdua keluar menuju jalan .
ayo kami berdua keluar menuju jalan .	oh tidak , kamu tidak dapat membodohiku .
oh tidak , kamu tidak dapat membodohiku .	dan kamu tidak bisa menggertak aku , huh ?
dan kamu tidak bisa menggertak aku , huh ?	baiklah anakanak , kalahkan dia .
baiklah anakanak , kalahkan dia .	kalian membuat keributan ...
kalian membuat keributan ...	frank loving terlalu takut untuk membagi kartu .
frank loving terlalu takut untuk membagi kartu .	kamu menghancurkan kemenanganku .
kamu menghancurkan kemenanganku .	kesenangan berakhir , nak , lepaskan mereka .
kesenangan berakhir , nak , lepaskan mereka .	ayo kami selesaikan diluar
ayo kami selesaikan diluar	ayolah , shanghai ?
ayolah , shanghai ?	silahkan , tarik senjata kalian .
silahkan , tarik senjata kalian .	tapi kamu menjadi yang pertama shanghai .
tapi kamu menjadi yang pertama shanghai .	dan kamu yang kedua ringo
dan kamu yang kedua ringo	well , ayo kami mainkan .
well , ayo kami mainkan .	aku beri kalian waktu detik untuk melepaskan senjata .
aku beri kalian waktu detik untuk melepaskan senjata .	satu ...
satu ...	dua ...
dua ...	tiga ...
tiga ...	empat ...
empat ...	sudah cukup bersenangsenangnya , nak ,
sudah cukup bersenangsenangnya , nak ,	lepaskan senjata kalian ...
lepaskan senjata kalian ...	harry , jackson , kumpulkan senjatanya ...
harry , jackson , kumpulkan senjatanya ...	ayo jalan ...
ayo jalan ...	doc !
doc !	masih adakah yang ingin mencoba keberuntungan ?
masih adakah yang ingin mencoba keberuntungan ?	cepat jalan , ayo !
cepat jalan , ayo !	...
...	kalian semua , terus jalan .
kalian semua , terus jalan .	baiklah doc , kami belum selesai .
baiklah doc , kami belum selesai .	tentu , tapi hatiku merasa senang malam ini
tentu , tapi hatiku merasa senang malam ini	terus jalan , ayo .
terus jalan , ayo .	kelly , masukan mereka dan kunci untuk semalam .
kelly , masukan mereka dan kunci untuk semalam .	kamu dengar marshal .
kamu dengar marshal .	ayo ... terus jalan .
ayo ... terus jalan .	kukira kamu tidak ingin aku berterimakasih
kukira kamu tidak ingin aku berterimakasih	isi saja reneningku hingga penuh .
isi saja reneningku hingga penuh .	dan jangan menjadi masalah pribadi , marshal .
dan jangan menjadi masalah pribadi , marshal .	selamat pagi doc .
selamat pagi doc .	pagi .
pagi .	kukira kamu harus tahu bahwa akan berkurang seorang penegak hukum disini .
kukira kamu harus tahu bahwa akan berkurang seorang penegak hukum disini .	itu selalu menjadi kabar baik untukku .
itu selalu menjadi kabar baik untukku .	aku menuju california , membeli sebuah peternakan .
aku menuju california , membeli sebuah peternakan .	aku mengikuti saranmu , keluar sementara waktu .
aku mengikuti saranmu , keluar sementara waktu .	orang pintar .
orang pintar .	laura bersamaku .
laura bersamaku .	kami akan menikah beberapa hari lagi .
kami akan menikah beberapa hari lagi .	kami ingin kamu datang , doc .
kami ingin kamu datang , doc .	jika tidak mengganggu permainan pokermu .
jika tidak mengganggu permainan pokermu .	aku canggung dengan pesta pernikahan , biasanya , aku menghindar .
aku canggung dengan pesta pernikahan , biasanya , aku menghindar .	wyatt .
wyatt .	dia wanita sesungguhnya .
dia wanita sesungguhnya .	kudoakan semoga kalian hidup bahagia .
kudoakan semoga kalian hidup bahagia .	kamu beruntung bisa pergi dari sini .
kamu beruntung bisa pergi dari sini .	mengapa kamu tidak mencoba keberuntunganmu ?
mengapa kamu tidak mencoba keberuntunganmu ?	selamat jalan , doc .
selamat jalan , doc .	bawa aku kembali , doc ,
bawa aku kembali , doc ,	kumohon ?
kumohon ?	beri aku kesempatan lagi .
beri aku kesempatan lagi .	kumohon , bawa aku kembali .
kumohon , bawa aku kembali .	akan kulakukan apapun yang kamu katakan .
akan kulakukan apapun yang kamu katakan .	tidak peduli bagaimanapun kamu memperlakukan aku
tidak peduli bagaimanapun kamu memperlakukan aku	doc , maafkan aku atas apa yang kulakukan .
doc , maafkan aku atas apa yang kulakukan .	bukan salahmu , kate .
bukan salahmu , kate .	bukan salahku , ini bukan salah siapapun .
bukan salahku , ini bukan salah siapapun .	ini seperti saat kartu kalah .
ini seperti saat kartu kalah .	aku tidak pernah memberimu kesempatan , bukan ?
aku tidak pernah memberimu kesempatan , bukan ?	iya , mungkin akan berbeda jika aku berlaku baik padamu , tapi ...
iya , mungkin akan berbeda jika aku berlaku baik padamu , tapi ...	belum terlambat , doc , aku akan berkelakuan baik ...
belum terlambat , doc , aku akan berkelakuan baik ...	aku janji .
aku janji .	sudah terlambat bagi kami .
sudah terlambat bagi kami .	lakukanlah sesuatu yang lebih baik untuk dirimu ,
lakukanlah sesuatu yang lebih baik untuk dirimu ,	sewaktu kamu masih punya kesempatan .
sewaktu kamu masih punya kesempatan .	jangan tinggalkan aku , doc .
jangan tinggalkan aku , doc .	jangan biarkan aku kembali ke sana .
jangan biarkan aku kembali ke sana .	biarkan aku ...
biarkan aku ...	biarkan aku sendiri .
biarkan aku sendiri .	aku akan melihat kematianmu .
aku akan melihat kematianmu .	hai wyatt .
hai wyatt .	charlie .
charlie .	kamu dapat surat dari jaksa agung .
kamu dapat surat dari jaksa agung .	apa yang dia katakan ?
apa yang dia katakan ?	katanya , dia dapat menjadikanmu sebagai marshal amerika us marshal kapanpun kamu inginkan .
katanya , dia dapat menjadikanmu sebagai marshal amerika us marshal kapanpun kamu inginkan .	wyatt earp , marshal amerika serikat , itu yang kuinginkan .
wyatt earp , marshal amerika serikat , itu yang kuinginkan .	mereka semua akan mati , charlie .
mereka semua akan mati , charlie .	oh , sebelum aku lupa ...
oh , sebelum aku lupa ...	sekarang ini jadi milikmu .
sekarang ini jadi milikmu .	aku kira , demi kebaikan sebagai penegak hukum .
aku kira , demi kebaikan sebagai penegak hukum .	oh , kamu dapat telegram juga .
oh , kamu dapat telegram juga .	bacalah .
bacalah .	virgil saudaraku .
virgil saudaraku .	dia dalam kesulitan , dia membutuhkanku ...
dia dalam kesulitan , dia membutuhkanku ...	cobalah mengerti , laura .
cobalah mengerti , laura .	aku mengerti , aku terlalu bodoh untuk jatuh cinta .
aku mengerti , aku terlalu bodoh untuk jatuh cinta .	kalau saja aku bisa ...
kalau saja aku bisa ...	wyatt , saat pertama aku bertemu denganmu ...
wyatt , saat pertama aku bertemu denganmu ...	sudah kubilang aku tidak bisa mengikutimu dari kota ke kota ...
sudah kubilang aku tidak bisa mengikutimu dari kota ke kota ...	duduk dalam kegelapan , menunggu seseorang ... yang membawa berita kematianmu .
duduk dalam kegelapan , menunggu seseorang ... yang membawa berita kematianmu .	aku tidak bisa hidup seperti itu .
aku tidak bisa hidup seperti itu .	kami memulai kehidupan bersama ...
kami memulai kehidupan bersama ...	tidak dengan membawa pistol di tanganmu .
tidak dengan membawa pistol di tanganmu .	aku bersumpah padamu laura ...
aku bersumpah padamu laura ...	aku akan berubah setelah tombstone .
aku akan berubah setelah tombstone .	kamu tidak akan pernah berubah ,
kamu tidak akan pernah berubah ,	reputasimu akan mengikutimu dimanapun kamu berada .
reputasimu akan mengikutimu dimanapun kamu berada .	laura , dia saudaraku .
laura , dia saudaraku .	dan aku akan menjadi istrimu .
dan aku akan menjadi istrimu .	jangan minta aku untuk meninggalkannya .
jangan minta aku untuk meninggalkannya .	kalau begitu , jangan tinggalkan aku .
kalau begitu , jangan tinggalkan aku .	akan kuberikan apapun ...
akan kuberikan apapun ...	aku akan pergi kemanapun untukmu .
aku akan pergi kemanapun untukmu .	aku akan menemanimu bekerja di ladang .
aku akan menemanimu bekerja di ladang .	tapi kamu membuat dua pilihan .
tapi kamu membuat dua pilihan .	aku harus pergi ke tombstone .
aku harus pergi ke tombstone .	baiklah ...
baiklah ...	pergilah , bersihkan tombstone .
pergilah , bersihkan tombstone .	ada lebih tombstone lain di garis depan ...
ada lebih tombstone lain di garis depan ...	semuanya menunggu wyatt earp .
semuanya menunggu wyatt earp .	pergilah , bersihkan mereka semua .
pergilah , bersihkan mereka semua .	pergilah !
pergilah !	aku mencintaimu , laura .
aku mencintaimu , laura .	aku mencintaimu , wyatt .
aku mencintaimu , wyatt .	wiriadikrama family melur dua nomor saratus , brk , bandung
wiriadikrama family melur dua nomor saratus , brk , bandung	paculah
paculah	paculah
paculah	menuju neraka
menuju neraka	dan menghilang
dan menghilang	hati wyatt begitu sedih
hati wyatt begitu sedih	dia pertaruhkan segalanya untuk kebenaran
dia pertaruhkan segalanya untuk kebenaran	bertahan dengan keyakinannya
bertahan dengan keyakinannya	gadis wyatt , menangis ditinggalkan olehnya
gadis wyatt , menangis ditinggalkan olehnya	dia melanggar sumpahnya dan pergi berpacu ...
dia melanggar sumpahnya dan pergi berpacu ...	menuju tombstone
menuju tombstone	selamat sore marshal .
selamat sore marshal .	sedang jalanjalan kemana ?
sedang jalanjalan kemana ?	menempuh mil menuju tombstone .
menempuh mil menuju tombstone .	tombstone , huh ?
tombstone , huh ?	aku sendiri juga mau kesana .
aku sendiri juga mau kesana .	kutahu suhunya lebih sejuk , mungkin lebih baik untuk batukku .
